source_framework,source_provision,target_framework,target_provision,relation,rationale,source
mitre_atlas,AML.M0000,mitre_atlas,AML.T0000,mitigates,"Limit the connection between publicly disclosed approaches and the data, models, and algorithms used in production.",MITRE ATLAS v5.6.0 data (authoritative mitigation-to-technique mapping)
mitre_atlas,AML.M0000,mitre_atlas,AML.T0003,mitigates,Restrict release of technical information on ML-enabled products and organizational information on the teams supporting ML-enabled products.,MITRE ATLAS v5.6.0 data (authoritative mitigation-to-technique mapping)
mitre_atlas,AML.M0000,mitre_atlas,AML.T0002,mitigates,Limit the release of sensitive information in the metadata of deployed systems and publicly available applications.,MITRE ATLAS v5.6.0 data (authoritative mitigation-to-technique mapping)
mitre_atlas,AML.M0000,mitre_atlas,AML.T0004,mitigates,Limit the release of sensitive information in the metadata of deployed systems and publicly available applications.,MITRE ATLAS v5.6.0 data (authoritative mitigation-to-technique mapping)
mitre_atlas,AML.M0000,mitre_atlas,AML.T0005,mitigates,Limiting release of technical information about a model and training data can reduce an adversary's ability to create an accurate proxy model.,MITRE ATLAS v5.6.0 data (authoritative mitigation-to-technique mapping)
mitre_atlas,AML.M0000,mitre_atlas,AML.T0005.000,mitigates,Limiting release of technical information about a model and training data can reduce an adversary's ability to create an accurate proxy model.,MITRE ATLAS v5.6.0 data (authoritative mitigation-to-technique mapping)
mitre_atlas,AML.M0000,mitre_atlas,AML.T0005.002,mitigates,Limiting release of technical information about a model and training data can reduce an adversary's ability to create an accurate proxy model.,MITRE ATLAS v5.6.0 data (authoritative mitigation-to-technique mapping)
mitre_atlas,AML.M0001,mitre_atlas,AML.T0002.000,mitigates,Limiting the release of datasets can reduce an adversary's ability to target production models trained on the same or similar data.,MITRE ATLAS v5.6.0 data (authoritative mitigation-to-technique mapping)
mitre_atlas,AML.M0001,mitre_atlas,AML.T0002.001,mitigates,Limiting the release of model architectures and checkpoints can reduce an adversary's ability to target those models.,MITRE ATLAS v5.6.0 data (authoritative mitigation-to-technique mapping)
mitre_atlas,AML.M0001,mitre_atlas,AML.T0020,mitigates,Published datasets can be a target for poisoning attacks.,MITRE ATLAS v5.6.0 data (authoritative mitigation-to-technique mapping)
mitre_atlas,AML.M0001,mitre_atlas,AML.T0005,mitigates,Limiting the release of model artifacts can reduce an adversary's ability to create an accurate proxy model.,MITRE ATLAS v5.6.0 data (authoritative mitigation-to-technique mapping)
