source_framework,source_provision,target_framework,target_provision,relation,rationale,source
nist_ai_600_1,GV-1.1,nist_ai_rmf,GOVERN 1.1,supports,"GenAI-specific suggested actions for AI RMF subcategory GOVERN 1.1.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,GV-1.2,nist_ai_rmf,GOVERN 1.2,supports,"GenAI-specific suggested actions for AI RMF subcategory GOVERN 1.2.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,GV-1.3,nist_ai_rmf,GOVERN 1.3,supports,"GenAI-specific suggested actions for AI RMF subcategory GOVERN 1.3.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,GV-1.4,nist_ai_rmf,GOVERN 1.4,supports,"GenAI-specific suggested actions for AI RMF subcategory GOVERN 1.4.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,GV-1.5,nist_ai_rmf,GOVERN 1.5,supports,"GenAI-specific suggested actions for AI RMF subcategory GOVERN 1.5.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,GV-1.6,nist_ai_rmf,GOVERN 1.6,supports,"GenAI-specific suggested actions for AI RMF subcategory GOVERN 1.6.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,GV-1.7,nist_ai_rmf,GOVERN 1.7,supports,"GenAI-specific suggested actions for AI RMF subcategory GOVERN 1.7.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,GV-2.1,nist_ai_rmf,GOVERN 2.1,supports,"GenAI-specific suggested actions for AI RMF subcategory GOVERN 2.1.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,GV-3.2,nist_ai_rmf,GOVERN 3.2,supports,"GenAI-specific suggested actions for AI RMF subcategory GOVERN 3.2.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,GV-4.1,nist_ai_rmf,GOVERN 4.1,supports,"GenAI-specific suggested actions for AI RMF subcategory GOVERN 4.1.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,GV-4.2,nist_ai_rmf,GOVERN 4.2,supports,"GenAI-specific suggested actions for AI RMF subcategory GOVERN 4.2.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,GV-4.3,nist_ai_rmf,GOVERN 4.3,supports,"GenAI-specific suggested actions for AI RMF subcategory GOVERN 4.3.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,GV-5.1,nist_ai_rmf,GOVERN 5.1,supports,"GenAI-specific suggested actions for AI RMF subcategory GOVERN 5.1.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,GV-6.1,nist_ai_rmf,GOVERN 6.1,supports,"GenAI-specific suggested actions for AI RMF subcategory GOVERN 6.1.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,GV-6.2,nist_ai_rmf,GOVERN 6.2,supports,"GenAI-specific suggested actions for AI RMF subcategory GOVERN 6.2.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MP-1.1,nist_ai_rmf,MAP 1.1,supports,"GenAI-specific suggested actions for AI RMF subcategory MAP 1.1.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MP-1.2,nist_ai_rmf,MAP 1.2,supports,"GenAI-specific suggested actions for AI RMF subcategory MAP 1.2.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MP-2.1,nist_ai_rmf,MAP 2.1,supports,"GenAI-specific suggested actions for AI RMF subcategory MAP 2.1.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MP-2.2,nist_ai_rmf,MAP 2.2,supports,"GenAI-specific suggested actions for AI RMF subcategory MAP 2.2.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MP-2.3,nist_ai_rmf,MAP 2.3,supports,"GenAI-specific suggested actions for AI RMF subcategory MAP 2.3.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MP-3.4,nist_ai_rmf,MAP 3.4,supports,"GenAI-specific suggested actions for AI RMF subcategory MAP 3.4.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MP-4.1,nist_ai_rmf,MAP 4.1,supports,"GenAI-specific suggested actions for AI RMF subcategory MAP 4.1.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MP-5.1,nist_ai_rmf,MAP 5.1,supports,"GenAI-specific suggested actions for AI RMF subcategory MAP 5.1.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MP-5.2,nist_ai_rmf,MAP 5.2,supports,"GenAI-specific suggested actions for AI RMF subcategory MAP 5.2.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MS-1.1,nist_ai_rmf,MEASURE 1.1,supports,"GenAI-specific suggested actions for AI RMF subcategory MEASURE 1.1.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
